Beginn,Ende,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Joggen – Dauer (ms)
09:45:00.000+01:00,10:00:00.000+01:00,48.54534493225431,306.8947656200203,,,,51.429473876953125,6.77601957321167,51.429473876953125,6.77601957321167,1.0892037600278854,1.6920791864395142,0.4863283336162567,466,,,,468650,431350,
10:00:00.000+01:00,10:15:00.000+01:00,80.74999433620249,240.75887035867845,,,,51.43863296508789,7.005204677581787,51.43864440917969,7.005535125732422,0.7745081186294556,0.7980523109436035,0.7509639263153076,1302,,,,,900000,
10:15:00.000+01:00,10:30:00.000+01:00,58.91420313290038,367.7605589193339,,,,51.43754577636719,7.0049638748168945,51.4386100769043,7.005666255950928,0.5053447633981705,0.6908861994743347,0.3198033273220062,576,,,,,582522,
10:30:00.000+01:00,10:45:00.000+01:00,80.75000319515506,589.0287821040512,,,,51.43657302856445,6.999027729034424,51.43764114379883,7.00452995300293,0.7689162935878405,0.8649381399154663,0.40113726258277893,810,,,,,900000,
10:45:00.000+01:00,11:00:00.000+01:00,62.07562713072398,246.266636797965,,,,51.43712615966797,6.998377323150635,51.43819046020508,6.999548435211182,0.39184045791625977,0.39184045791625977,0.39184045791625977,356,,,,271513,628487,
11:00:00.000+01:00,11:15:00.000+01:00,18.848958096069648,,,,,,,,,,,,,,,,900000,,
11:15:00.000+01:00,11:30:00.000+01:00,38.983441442826056,,,,,,,,,,,,488,,,,607258,292742,
11:30:00.000+01:00,11:45:00.000+01:00,44.10857215033263,,,,,,,,,,,,612,,,,371585,367258,
11:45:00.000+01:00,12:00:00.000+01:00,61.092020480225194,446.3301239013672,,,,51.43645477294922,6.998660087585449,51.43842315673828,6.9994940757751465,0.7265272736549377,0.7277596592903137,0.7252948880195618,614,,,,125639,614187,
12:00:00.000+01:00,12:15:00.000+01:00,18.848958866023402,,,,,51.41172409057617,6.971184253692627,51.43416976928711,7.001237392425537,,,,,,,,,,
12:15:00.000+01:00,12:30:00.000+01:00,18.848958837213,,,,,51.247650146484375,6.7966742515563965,51.25907516479492,6.821284770965576,,,,13,,,,33488,,
12:30:00.000+01:00,12:45:00.000+01:00,18.848958091735348,,,,,,,,,,,,0,,,,900000,,
12:45:00.000+01:00,13:00:00.000+01:00,18.848958091735348,,,,,,,,,,,,,,,,900000,,
13:00:00.000+01:00,13:15:00.000+01:00,18.848958091735348,,,,,,,,,,,,,,,,900000,,
13:15:00.000+01:00,13:30:00.000+01:00,18.848958091735348,,,,,,,,,,,,,,,,900000,,
13:30:00.000+01:00,13:45:00.000+01:00,18.848958091735348,,,,,,,,,,,,,,,,900000,,
13:45:00.000+01:00,14:00:00.000+01:00,18.848957838271783,,,,,51.23900604248047,6.810625076293945,51.24727249145508,6.81848669052124,6.904542306833726,12.311042785644531,0.6305675506591797,,,,,360481,,
14:00:00.000+01:00,14:15:00.000+01:00,18.848957668919454,,,,,51.22187423706055,6.809718608856201,51.240272521972656,6.82227897644043,4.110192233223256,13.14461612701416,0.5136173367500305,,,,,,,
14:15:00.000+01:00,14:30:00.000+01:00,18.84895774581238,,,,,51.21708297729492,6.795518398284912,51.22185516357422,6.8097004890441895,0.809177577495575,0.809177577495575,0.809177577495575,5,,,,,,
14:30:00.000+01:00,14:45:00.000+01:00,18.848957642131875,,,,,51.21868133544922,6.796270847320557,51.21883010864258,6.796902656555176,,,,192,,,,299063,,
14:45:00.000+01:00,15:00:00.000+01:00,60.11631761131894,33.43841552734375,,,,51.18836975097656,6.794885635375977,51.21990203857422,6.797091960906982,0.36018818616867065,0.36018818616867065,0.36018818616867065,1044,,,,102877,600000,
15:00:00.000+01:00,15:15:00.000+01:00,18.84895702129189,,,,,51.21617126464844,6.79661750793457,51.24368667602539,6.817081451416016,,,,54,,,,,,
15:15:00.000+01:00,15:30:00.000+01:00,18.84895710055762,,,,,51.247623443603516,6.817358016967773,51.247623443603516,6.817442417144775,,,,9,,,,91061,,
