Beginn,Ende,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Joggen – Dauer (ms)
09:30:00.000+01:00,09:45:00.000+01:00,18.848958530329462,,,,,51.23912811279297,6.817698955535889,51.23924255371094,6.817782878875732,,,,,,,,,900000,,
09:45:00.000+01:00,10:00:00.000+01:00,18.848958530329462,,,,,51.23906707763672,6.817725658416748,51.23906707763672,6.817725658416748,,,,,,,,,900000,,
10:00:00.000+01:00,10:15:00.000+01:00,18.848958530329462,,,,,51.23906707763672,6.817725658416748,51.239234924316406,6.817782402038574,,,,,,,,,900000,,
10:15:00.000+01:00,10:30:00.000+01:00,18.848958530329462,,,,,51.23921585083008,6.817729473114014,51.23931884765625,6.817765712738037,,,,,,,,,900000,,
10:30:00.000+01:00,10:45:00.000+01:00,18.848958530329462,,,,,51.23906707763672,6.817725658416748,51.239227294921875,6.817777156829834,,,,,,,,,900000,,
10:45:00.000+01:00,11:00:00.000+01:00,18.848958530329462,,,,,51.23906707763672,6.817599296569824,51.2393684387207,6.818084239959717,,,,,,,,,900000,,
11:00:00.000+01:00,11:15:00.000+01:00,18.848958530329462,,,,,51.239253997802734,6.817765235900879,51.239253997802734,6.817765235900879,,,,,,,,,900000,,
11:15:00.000+01:00,11:30:00.000+01:00,18.848958530329462,,,,,51.23906707763672,6.817725658416748,51.23955535888672,6.817923069000244,,,,,,,,,900000,,
11:30:00.000+01:00,11:45:00.000+01:00,18.848958530329462,,,,,51.23906707763672,6.817725658416748,51.23906707763672,6.817725658416748,,,,,,,,,900000,,
11:45:00.000+01:00,12:00:00.000+01:00,18.848958530329462,,,,,51.23906707763672,6.8177056312561035,51.239158630371094,6.817765235900879,,,,,,,,,900000,,
