Beginn,Ende,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Inaktiv – Dauer (ms)
15:15:00.000+01:00,15:30:00.000+01:00,18.848958333333332,,,,,,,,,,,,,,,,
15:30:00.000+01:00,15:45:00.000+01:00,18.848958333333332,,,,,,,,,,,,,,,,
15:45:00.000+01:00,16:00:00.000+01:00,18.848958333333332,,,,,,,,,,,,,,,,
16:00:00.000+01:00,16:15:00.000+01:00,18.848958333333332,,,,,,,,,,,,,,,,
16:15:00.000+01:00,16:30:00.000+01:00,18.848958333333332,,,,,,,,,,,,,,,,
16:30:00.000+01:00,16:45:00.000+01:00,18.848958333333332,,,,,,,,,,,,,,,,
16:45:00.000+01:00,17:00:00.000+01:00,18.848958333333332,,,,,,,,,,,,,,,,
17:00:00.000+01:00,17:15:00.000+01:00,18.848958333333332,,,,,,,,,,,,,,,,
17:15:00.000+01:00,17:30:00.000+01:00,18.848958333333332,,,,,,,,,,,,,,,,
17:30:00.000+01:00,17:45:00.000+01:00,18.848958333333332,,,,,,,,,,,,,,,,
17:45:00.000+01:00,18:00:00.000+01:00,18.848958333333332,,,,,,,,,,,,,,,,
18:00:00.000+01:00,18:15:00.000+01:00,20.126686031902267,,,,,51.24762725830078,6.817329406738281,51.24762725830078,6.817329406738281,,,,12,85.0,85.0,85.0,478940
18:15:00.000+01:00,18:30:00.000+01:00,21.250000068648898,,,,,,,,,,,,,,,,900000
18:30:00.000+01:00,18:45:00.000+01:00,21.250000068648898,,,,,,,,,,,,,,,,900000
18:45:00.000+01:00,19:00:00.000+01:00,21.250000068648898,,,,,,,,,,,,,,,,900000
