Beginn,Ende,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Joggen – Dauer (ms)
00:00:00.000+02:00,00:15:00.000+02:00,18.848958056255615,,,,,,,,,,,,,,,,,900000,,
00:15:00.000+02:00,00:30:00.000+02:00,18.848958056255615,,,,,,,,,,,,,,,,,900000,,
00:30:00.000+02:00,00:45:00.000+02:00,18.848958056255615,,,,,,,,,,,,,,,,,900000,,
00:45:00.000+02:00,01:00:00.000+02:00,18.848958056255615,,,,,,,,,,,,,,,,,900000,,
01:00:00.000+02:00,01:15:00.000+02:00,18.848958056255615,,,,,,,,,,,,,,,,,900000,,
01:15:00.000+02:00,01:30:00.000+02:00,18.848958056255615,,,,,51.24732208251953,6.817378044128418,51.24763107299805,6.817642688751221,,,,,,,,,900000,,
01:30:00.000+02:00,01:45:00.000+02:00,18.848958056255615,,,,,51.24757766723633,6.817378044128418,51.24763488769531,6.817432403564453,,,,,,,,,900000,,
01:45:00.000+02:00,02:00:00.000+02:00,18.848958056255615,,,,,51.24764633178711,6.817334175109863,51.24764633178711,6.817334175109863,,,,,,,,,900000,,
02:00:00.000+02:00,02:15:00.000+02:00,18.848958056255615,,,,,,,,,,,,,,,,,900000,,
02:15:00.000+02:00,02:30:00.000+02:00,18.848958056255615,,,,,,,,,,,,,,,,,900000,,
02:30:00.000+02:00,02:45:00.000+02:00,18.848958056255615,,,,,,,,,,,,,,,,,900000,,
02:45:00.000+02:00,03:00:00.000+02:00,18.848958056255615,,,,,,,,,,,,,,,,,900000,,
03:00:00.000+02:00,03:15:00.000+02:00,18.848958056255615,,,,,,,,,,,,,,,,,900000,,
03:15:00.000+02:00,03:30:00.000+02:00,18.848958056255615,,,,,,,,,,,,,,,,,900000,,
03:30:00.000+02:00,03:45:00.000+02:00,18.848958056255615,,,,,,,,,,,,,,,,,900000,,
03:45:00.000+02:00,04:00:00.000+02:00,18.848958056255615,,,,,,,,,,,,,,,,,900000,,
04:00:00.000+02:00,04:15:00.000+02:00,18.848958056255615,,,,,,,,,,,,,,,,,900000,,
04:15:00.000+02:00,04:30:00.000+02:00,18.848958056255615,,,,,,,,,,,,,,,,,900000,,
04:30:00.000+02:00,04:45:00.000+02:00,18.848958056255615,,,,,,,,,,,,,,,,,900000,,
04:45:00.000+02:00,05:00:00.000+02:00,18.848958056255615,,,,,,,,,,,,,,,,,900000,,
05:00:00.000+02:00,05:15:00.000+02:00,18.848958056255615,,,,,51.247596740722656,6.817324638366699,51.24763870239258,6.817406177520752,,,,,,,,,900000,,
05:15:00.000+02:00,05:30:00.000+02:00,18.848958056255615,,,,,51.24766540527344,6.817371845245361,51.24766540527344,6.817371845245361,,,,,,,,,900000,,
05:30:00.000+02:00,05:45:00.000+02:00,18.848958056255615,,,,,,,,,,,,,,,,,900000,,
05:45:00.000+02:00,06:00:00.000+02:00,18.848958056255615,,,,,,,,,,,,,,,,,900000,,
06:00:00.000+02:00,06:15:00.000+02:00,18.848958056255615,,,,,,,,,,,,,,,,,900000,,
06:15:00.000+02:00,06:30:00.000+02:00,18.848958056255615,,,,,,,,,,,,,,,,,900000,,
06:30:00.000+02:00,06:45:00.000+02:00,18.848958205048167,,,,,51.246498107910156,6.813549995422363,51.246498107910156,6.813549995422363,,,,,,,,,639023,,
06:45:00.000+02:00,07:00:00.000+02:00,18.84895855973733,,,,,51.23899841308594,6.812750339508057,51.24473571777344,6.818872928619385,1.0793289518356324,1.8464895486831665,0.5588290691375732,41,,,,,72984,,
07:00:00.000+02:00,07:15:00.000+02:00,32.904827159366505,84.32295227050781,,,,51.2388801574707,6.816151142120361,51.23933029174805,6.817972660064697,0.871006510420553,1.2941572666168213,0.41261357069015503,242,,,,,695637,204363,
07:15:00.000+02:00,07:30:00.000+02:00,18.848956269203956,,,,,51.23918914794922,6.817419052124023,51.2394905090332,6.817748546600342,,,,,,,,,900000,,
07:30:00.000+02:00,07:45:00.000+02:00,36.91064944053127,145.43109226226807,,,,51.23918914794922,6.817697525024414,51.23941421508789,6.818328380584717,0.59536674899002,1.3430511951446533,0.40673738718032837,284,,,,,637395,262605,
07:45:00.000+02:00,08:00:00.000+02:00,26.773962691138777,108.06061363220215,,,,51.23893737792969,6.81797456741333,51.23979187011719,6.819238662719727,1.2679361524738035,2.7769625186920166,0.5528043508529663,482,,,,,785351,114649,
08:00:00.000+02:00,08:15:00.000+02:00,18.84895689033647,,,,,51.239234924316406,6.817972183227539,51.23944091796875,6.818182468414307,2.7769625186920166,2.7769625186920166,2.7769625186920166,174,,,,,900000,,
08:15:00.000+02:00,08:30:00.000+02:00,18.84895689033647,,,,,51.23918914794922,6.817697525024414,51.23929214477539,6.817711353302002,,,,,,,,,900000,,
08:30:00.000+02:00,08:45:00.000+02:00,18.84895689033647,,,,,51.23918914794922,6.817677974700928,51.239288330078125,6.818050384521484,,,,,,,,,900000,,
08:45:00.000+02:00,09:00:00.000+02:00,26.824906307513377,18.899972915649414,,,,51.23918914794922,6.817697525024414,51.239376068115234,6.817972183227539,0.36136168241500854,0.36136168241500854,0.36136168241500854,53,,,,,784035,115965,
09:00:00.000+02:00,09:15:00.000+02:00,18.848957315081854,,,,,51.21525955200195,6.823962211608887,51.24187088012695,6.866203308105469,,,,,,,,,27081,,
09:15:00.000+02:00,09:30:00.000+02:00,18.848957279178205,,,,,51.192142486572266,6.914265155792236,51.23191833496094,7.154524803161621,15.173445917785358,27.066869735717773,2.2602145671844482,,,,,,,,
09:30:00.000+02:00,09:45:00.000+02:00,18.848957279178205,,,,,51.2144889831543,7.154641151428223,51.242530822753906,7.240808010101318,15.065828903367452,26.14775848388672,0.5573210120201111,,,,,,,,
09:45:00.000+02:00,10:00:00.000+02:00,18.848957373140777,,,,,51.2020378112793,7.2803168296813965,51.220176696777344,7.3191399574279785,9.15915418578131,16.730682373046875,0.5211727619171143,,,,,,303985,,
10:00:00.000+02:00,10:15:00.000+02:00,18.848957607222832,,,,,51.20146560668945,7.324552059173584,51.20228958129883,7.357817649841309,1.1355139857183325,2.356931447982788,0.6311023831367493,11,,,,,646012,,
10:15:00.000+02:00,10:30:00.000+02:00,37.87699681294327,81.55300283432007,,,,51.20188903808594,7.383064270019531,51.20331954956055,7.384904861450195,1.4975703721836273,6.502514839172363,0.2157210409641266,553,,,,,297462,276655,
10:30:00.000+02:00,10:45:00.000+02:00,31.29863431579479,22.53458309173584,,,,51.20188903808594,7.384008884429932,51.201969146728516,7.384343147277832,0.37032878398895264,0.37032878398895264,0.37032878398895264,267,,,,,718990,181010,
10:45:00.000+02:00,11:00:00.000+02:00,18.848958615535903,,,,,,,,,,,,63,,,,,900000,,
11:00:00.000+02:00,11:15:00.000+02:00,18.848958615535903,,,,,,,,,,,,,,,,,900000,,
11:15:00.000+02:00,11:30:00.000+02:00,18.848958615535903,,,,,,,,,,,,,,,,,900000,,
11:30:00.000+02:00,11:45:00.000+02:00,27.447288095650325,82.48969268798828,,,,51.2020263671875,7.384291648864746,51.2020263671875,7.384291648864746,0.7203837037086487,0.7203837037086487,0.7203837037086487,56,,,,,774986,125014,
11:45:00.000+02:00,12:00:00.000+02:00,18.848957624494627,,,,,51.1977424621582,7.3097615242004395,51.21510696411133,7.385640621185303,,,,148,,,,,295737,,
12:00:00.000+02:00,12:15:00.000+02:00,18.848957604640027,,,,,51.21539306640625,7.233761310577393,51.2397346496582,7.281637668609619,,,,,,,,,,,
12:15:00.000+02:00,12:30:00.000+02:00,18.848957604640027,,,,,,,,,,,,,,,,,,,
12:30:00.000+02:00,12:45:00.000+02:00,18.848957604640027,,,,,51.21727752685547,6.836887359619141,51.237579345703125,6.866333484649658,,,,,,,,,,,
12:45:00.000+02:00,13:00:00.000+02:00,25.468173614647476,39.42331391268348,,,,51.23362731933594,6.811465740203857,51.24272155761719,6.833784580230713,0.28432757779955864,0.4609442353248596,0.10771092027425766,,,,,,,96239,
13:00:00.000+02:00,13:15:00.000+02:00,19.24347417632855,2.6439759165706644,,,,51.2391357421875,6.817005634307861,51.239349365234375,6.817732810974121,0.7678088597511523,2.4211485385894775,0.5464251041412354,146,,,,,894264,5736,
13:15:00.000+02:00,13:30:00.000+02:00,18.848958203949284,,,,,51.23918914794922,6.817697525024414,51.239593505859375,6.817939281463623,,,,,,,,,900000,,
13:30:00.000+02:00,13:45:00.000+02:00,18.848958203949284,,,,,51.23923873901367,6.817721366882324,51.239315032958984,6.8177666664123535,,,,,,,,,900000,,
13:45:00.000+02:00,14:00:00.000+02:00,18.848958203949284,,,,,51.23918914794922,6.817697525024414,51.23918914794922,6.817697525024414,,,,,,,,,900000,,
14:00:00.000+02:00,14:15:00.000+02:00,18.848958203949284,,,,,51.23921585083008,6.817718982696533,51.239315032958984,6.818013668060303,,,,,,,,,900000,,
14:15:00.000+02:00,14:30:00.000+02:00,18.848958203949284,,,,,51.239280700683594,6.817748069763184,51.239280700683594,6.817748069763184,,,,,,,,,900000,,
14:30:00.000+02:00,14:45:00.000+02:00,80.12276507289955,1129.9652531871177,,,,51.23918914794922,6.812589168548584,51.246150970458984,6.8181376457214355,1.204148441976016,1.337308645248413,0.8105419874191284,1513,,,,,9119,890881,
14:45:00.000+02:00,15:00:00.000+02:00,30.8819140793714,228.7700678578042,,,,51.247406005859375,6.814483165740967,51.247650146484375,6.817323684692383,1.3490049839019775,1.3607012033462524,1.3373087644577026,298,,,,,678618,174951,
15:00:00.000+02:00,15:15:00.000+02:00,18.848958308574502,,,,,,,,,,,,,,,,,900000,,
15:15:00.000+02:00,15:30:00.000+02:00,18.84895828384686,,,,,51.24540328979492,6.7998576164245605,51.2523078918457,6.817408561706543,6.245336997592076,13.561247825622559,0.5149077773094177,68,,,,,842196,,
15:30:00.000+02:00,15:45:00.000+02:00,18.848957923568555,,,,,51.25275802612305,6.79356050491333,51.39447784423828,6.9430131912231445,22.160698778850307,35.56903839111328,0.7951071858406067,,,,,,,,
15:45:00.000+02:00,16:00:00.000+02:00,18.848957923568555,,,,,51.381675720214844,6.943242073059082,51.40129470825195,6.998514175415039,8.242610012730937,23.834484100341797,0.7014663219451904,,,,,,,,
16:00:00.000+02:00,16:15:00.000+02:00,51.43154285428438,635.5167236328125,,,,51.381771087646484,6.994649887084961,51.38352584838867,6.995848178863525,1.1784941637733315,8.583620071411133,0.49617740511894226,585,,,,,293285,473730,
16:15:00.000+02:00,16:30:00.000+02:00,70.16925475074216,719.4986334360045,,,,51.38154983520508,6.994083404541016,51.38373565673828,7.000593185424805,1.2892534374271525,2.225454568862915,0.3638836443424225,1004,,,,,153837,746163,
16:30:00.000+02:00,16:45:00.000+02:00,30.186202734633614,59.98112959500139,,,,51.38157653808594,6.995101451873779,51.38247299194336,7.000316619873047,,,,378,,,,,735164,164836,
16:45:00.000+02:00,17:00:00.000+02:00,18.848958176258808,,,,,51.38154983520508,6.994083404541016,51.382328033447266,6.995101451873779,,,,30,,,,,900000,,
17:00:00.000+02:00,17:15:00.000+02:00,18.848958176258808,,,,,51.38120651245117,6.997358322143555,51.38175964355469,7.000056266784668,0.7118959046139598,0.9287551045417786,0.5079709887504578,19,,,,,900000,,
