Beginn,Ende,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Laufen – Dauer (ms),Joggen – Dauer (ms)
08:45:00.000+02:00,09:00:00.000+02:00,18.848956949696852,,,,,51.23910903930664,6.8177056312561035,51.239280700683594,6.817772388458252,0.8792159557342529,0.8903256058692932,0.8681063055992126,,,,,900000,,,
09:00:00.000+02:00,09:15:00.000+02:00,18.848956949696852,,,,,51.23921585083008,6.8177103996276855,51.23930358886719,6.817782878875732,,,,,,,,900000,,,
09:15:00.000+02:00,09:30:00.000+02:00,18.848956949696852,,,,,,,,,,,,,,,,900000,,,
09:30:00.000+02:00,09:45:00.000+02:00,18.848956949696852,,,,,51.239356994628906,6.817781448364258,51.239356994628906,6.817781448364258,,,,,,,,900000,,,
09:45:00.000+02:00,10:00:00.000+02:00,18.848956949696852,,,,,51.239234924316406,6.8175554275512695,51.2393798828125,6.81796932220459,0.9070550203323364,0.9070550203323364,0.9070550203323364,,,,,900000,,,
10:00:00.000+02:00,10:15:00.000+02:00,18.848956949696852,,,,,51.23947525024414,6.817859649658203,51.23947525024414,6.817859649658203,,,,,,,,900000,,,
10:15:00.000+02:00,10:30:00.000+02:00,18.848956949696852,,,,,51.239341735839844,6.817771911621094,51.239383697509766,6.817806243896484,,,,,,,,900000,,,
10:30:00.000+02:00,10:45:00.000+02:00,18.848956949696852,,,,,51.239288330078125,6.817784309387207,51.2393684387207,6.81781005859375,,,,,,,,900000,,,
10:45:00.000+02:00,11:00:00.000+02:00,18.848956949696852,,,,,51.23931121826172,6.817800998687744,51.23931121826172,6.817800998687744,,,,,,,,900000,,,
11:00:00.000+02:00,11:15:00.000+02:00,18.848956949696852,,,,,51.23929214477539,6.817750453948975,51.239341735839844,6.817793369293213,,,,,,,,900000,,,
11:15:00.000+02:00,11:30:00.000+02:00,18.848956949696852,,,,,51.23921585083008,6.8177103996276855,51.23921585083008,6.8177103996276855,,,,,,,,900000,,,
11:30:00.000+02:00,11:45:00.000+02:00,18.848956949696852,,,,,51.23921585083008,6.8177103996276855,51.23927307128906,6.817806243896484,,,,,,,,900000,,,
11:45:00.000+02:00,12:00:00.000+02:00,39.48263916429618,160.0,,,,51.23897933959961,6.817743301391602,51.23927307128906,6.8179826736450195,0.5527777373790741,1.4999998807907104,0.29999998211860657,303,,,,600000,300000,,
12:00:00.000+02:00,12:15:00.000+02:00,50.57592399341188,82.0,,,,51.23891067504883,6.817957878112793,51.23891067504883,6.817957878112793,0.6833332926034927,0.8666666150093079,0.4999999701976776,673,,,,238550,461289,,
12:15:00.000+02:00,12:30:00.000+02:00,78.53246259689331,534.3721175193787,,,,51.238746643066406,6.8177103996276855,51.23960494995117,6.818077564239502,2.5761453919686317,5.980679512023926,0.2697729468345642,617,,,,420000,420000,60000,
12:30:00.000+02:00,12:45:00.000+02:00,78.52885115146637,655.6409978866577,,,,51.23900604248047,6.8177103996276855,51.23977279663086,6.8186469078063965,1.025440688241105,1.7666665315628052,0.19999998807907104,1111,,,,,854234,,
12:45:00.000+02:00,13:00:00.000+02:00,62.59965372085571,134.0,,,,51.23921585083008,6.8177103996276855,51.23921585083008,6.8177103996276855,0.5715277244647344,1.2499998807907104,0.04999999701976776,487,,,,263894,636106,,
13:00:00.000+02:00,13:15:00.000+02:00,70.51410484313965,627.4741425514221,,,,51.239341735839844,6.817819118499756,51.239681243896484,6.818960189819336,0.9953445661132536,1.7999998331069946,0.25,770,,,,240000,600000,60000,
