Beginn,Ende,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Laufen – Dauer (ms),Calisthenics – Dauer (ms),Joggen – Dauer (ms)
10:15:00.000+01:00,10:30:00.000+01:00,18.848957070432412,,,,,51.24752426147461,6.817356109619141,51.24769592285156,6.8174967765808105,1.1106857657432556,1.332072138786316,0.8892993927001953,,,,,900000,,,,
10:30:00.000+01:00,10:45:00.000+01:00,18.848957070432412,,,,,,,,,,,,,,,,900000,,,,
10:45:00.000+01:00,11:00:00.000+01:00,18.848957070432412,,,,,,,,,,,,,,,,900000,,,,
11:00:00.000+01:00,11:15:00.000+01:00,18.848957070432412,,,,,,,,,,,,,,,,900000,,,,
11:15:00.000+01:00,11:30:00.000+01:00,18.848957070432412,,,,,,,,,,,,,,,,900000,,,,
11:30:00.000+01:00,11:45:00.000+01:00,18.848957070432412,,,,,,,,,,,,18,,,,900000,,,,
11:45:00.000+01:00,12:00:00.000+01:00,18.848957070432412,,,,,,,,,,,,,,,,900000,,,,
12:00:00.000+01:00,12:15:00.000+01:00,18.848957070432412,,,,,51.247459411621094,6.817397594451904,51.24759292602539,6.817445278167725,,,,35,,,,900000,,,,
12:15:00.000+01:00,12:30:00.000+01:00,18.848957070432412,,,,,51.24750900268555,6.817337512969971,51.247642517089844,6.8174004554748535,,,,,,,,900000,,,,
12:30:00.000+01:00,12:45:00.000+01:00,18.848957070432412,,,,,51.24736404418945,6.817322254180908,51.24772262573242,6.817537307739258,0.7393172085285187,0.8600111603736877,0.6186232566833496,64,,,,900000,,,,
12:45:00.000+01:00,13:00:00.000+01:00,18.848957070432412,,,,,51.24758529663086,6.817322731018066,51.24763488769531,6.817330360412598,,,,,,,,900000,,,,
13:00:00.000+01:00,13:15:00.000+01:00,18.848957070432412,,,,,,,,,,,,,,,,900000,,,,
13:15:00.000+01:00,13:30:00.000+01:00,18.848957070432412,,,,,,,,,,,,,,,,900000,,,,
13:30:00.000+01:00,13:45:00.000+01:00,18.848957070432412,,,,,,,,,,,,,,,,900000,,,,
13:45:00.000+01:00,14:00:00.000+01:00,18.848957070432412,,,,,,,,,,,,,,,,900000,,,,
14:00:00.000+01:00,14:15:00.000+01:00,18.848957070432412,,,,,,,,,,,,326,,,,900000,,,,
14:15:00.000+01:00,14:30:00.000+01:00,61.438065044391365,708.7205270101522,,,,51.24229049682617,6.809117317199707,51.24660873413086,6.813559532165527,0.9208386639192788,1.1867330074310303,0.5050431489944458,1175,,,,280782,619218,,,
14:30:00.000+01:00,14:45:00.000+01:00,80.74999839006085,1120.4918761562499,,,,51.24302673339844,6.801664352416992,51.24717712402344,6.8079304695129395,1.1772809263391193,1.3096877336502075,0.9463302493095398,1509,,,,,900000,,,
14:45:00.000+01:00,15:00:00.000+01:00,80.74999839006085,987.7873359626492,,,,51.247535705566406,6.805731773376465,51.24885177612305,6.818050861358643,1.0969238365044875,1.2167599201202393,0.9343696236610413,1373,,,,,900000,,,
15:00:00.000+01:00,15:15:00.000+01:00,56.073833938183604,654.8819277696762,,,,51.24696350097656,6.817346572875977,51.247650146484375,6.8199872970581055,1.03288476093524,1.102138638496399,0.877170979976654,933,,,,,624971,,,
15:15:00.000+01:00,15:30:00.000+01:00,,,,,,51.247596740722656,6.817342758178711,51.247596740722656,6.817342758178711,,,,6,,,,,,,,
15:30:00.000+01:00,15:45:00.000+01:00,,,,,,,,,,,,,,,,,,,,,
15:45:00.000+01:00,16:00:00.000+01:00,,,,,,51.247642517089844,6.817337512969971,51.247642517089844,6.817337512969971,,,,10,,,,,,,,
16:00:00.000+01:00,16:15:00.000+01:00,,,,,,,,,,,,,,,,,,,,,
16:15:00.000+01:00,16:30:00.000+01:00,,,,,,,,,,,,,,,,,,,,,
16:30:00.000+01:00,16:45:00.000+01:00,,,,,,,,,,,,,,,,,,,,,
16:45:00.000+01:00,17:00:00.000+01:00,,,,,,,,,,,,,,,,,,,,,
17:00:00.000+01:00,17:15:00.000+01:00,,,,,,,,,,,,,,,,,,,,,
17:15:00.000+01:00,17:30:00.000+01:00,,,,,,,,,,,,,,,,,,,,,
