Beginn,Ende,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Laufen – Dauer (ms)
08:30:00.000+02:00,08:45:00.000+02:00,82.44250345230103,566.3657803185048,,,,51.24720764160156,6.817236423492432,51.24763488769531,6.817620277404785,0.7334558557418137,1.7088539600372314,0.14326928555965424,462,,,,,,900000,
08:45:00.000+02:00,09:00:00.000+02:00,80.75000524520874,507.0,,,,51.24753952026367,6.81729793548584,51.24762725830078,6.817428112030029,0.6505951982523713,1.2833333015441895,0.18333332240581512,644,,,,,,900000,
09:00:00.000+02:00,09:15:00.000+02:00,32.30370092391968,101.60025024414062,,,,51.2473258972168,6.817320823669434,51.247657775878906,6.817540645599365,0.6446883028974977,0.8112723231315613,0.3100041449069977,115,,,,,,195623,
09:15:00.000+02:00,09:30:00.000+02:00,64.2430589880262,258.0446529388428,,,,51.24729537963867,6.817294597625732,51.247657775878906,6.817570686340332,0.3923649042844773,0.5833333134651184,0.18333332240581512,319,,,,,,660000,
09:30:00.000+02:00,09:45:00.000+02:00,35.35590331895011,116.0,,,,51.2474365234375,6.817379951477051,51.247642517089844,6.817569732666016,0.4416666415830453,0.7999999523162842,0.18333332240581512,148,,,,,,240000,
09:45:00.000+02:00,10:00:00.000+02:00,65.99152286074103,443.0583959600109,,,,51.243282318115234,6.814497470855713,51.24769973754883,6.817807674407959,0.5552244501786302,3.9293134212493896,0.0833333283662796,195,,,,248369,,420000,
10:00:00.000+02:00,10:15:00.000+02:00,67.28712293982038,806.6499105909687,,,,51.24317932128906,6.813222885131836,51.247676849365234,6.817383289337158,1.6560608283837617,2.8807928562164307,0.218670055270195,7,,,,644626,102596,15374,
10:15:00.000+02:00,10:30:00.000+02:00,18.84895890624695,,,,,,,,,,,,,,,,,900000,,
10:30:00.000+02:00,10:45:00.000+02:00,18.84895890624695,,,,,,,,,,,,,,,,,900000,,
10:45:00.000+02:00,11:00:00.000+02:00,22.97569539874149,9.0,,,,51.247676849365234,6.817068099975586,51.24772262573242,6.817382335662842,0.42151298720801805,0.5177709460258484,0.14999999105930328,12,,,,,840000,60000,
11:00:00.000+02:00,11:15:00.000+02:00,129.85232847160927,1231.7851555347443,,,,51.24762725830078,6.8173041343688965,51.2511100769043,6.821637153625488,1.686520942838992,9.0,0.4273664951324463,774,83.5999984741211,83.5999984741211,83.5999984741211,,417383,122617,360000
