Beginn,Ende,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Inaktiv – Dauer (ms),Gehen – Dauer (ms)
00:00:00.000+01:00,00:15:00.000+01:00,18.848957066072458,,,,,37.11907196044922,-8.528644561767578,37.119503021240234,-8.528583526611328,,,,,,,,900000,
00:15:00.000+01:00,00:30:00.000+01:00,18.848957066072458,,,,,37.119041442871094,-8.528586387634277,37.11942672729492,-8.528436660766602,,,,,,,,900000,
00:30:00.000+01:00,00:45:00.000+01:00,18.848957066072458,,,,,37.11906051635742,-8.528666496276855,37.11962890625,-8.52852725982666,,,,,,,,900000,
00:45:00.000+01:00,01:00:00.000+01:00,18.848957066072458,,,,,37.11907196044922,-8.52865982055664,37.11956024169922,-8.528568267822266,,,,,,,,900000,
01:00:00.000+01:00,01:15:00.000+01:00,18.848957066072458,,,,,37.11907196044922,-8.528644561767578,37.11914825439453,-8.528554916381836,,,,,,,,900000,
01:15:00.000+01:00,01:30:00.000+01:00,18.848957066072458,,,,,37.11907196044922,-8.528644561767578,37.119651794433594,-8.528511047363281,,,,,,,,900000,
01:30:00.000+01:00,01:45:00.000+01:00,18.848957066072458,,,,,37.1191520690918,-8.52864933013916,37.11959457397461,-8.528340339660645,,,,,,,,900000,
01:45:00.000+01:00,02:00:00.000+01:00,18.848957066072458,,,,,37.11907196044922,-8.528644561767578,37.11941146850586,-8.528547286987305,,,,,,,,900000,
02:00:00.000+01:00,02:15:00.000+01:00,18.848957066072458,,,,,37.11907196044922,-8.528644561767578,37.119537353515625,-8.528552055358887,,,,,,,,900000,
02:15:00.000+01:00,02:30:00.000+01:00,18.848957066072458,,,,,37.11905288696289,-8.528644561767578,37.11958312988281,-8.52843189239502,,,,,,,,900000,
02:30:00.000+01:00,02:45:00.000+01:00,18.848957066072458,,,,,37.11907196044922,-8.528644561767578,37.119686126708984,-8.528473854064941,,,,,,,,900000,
02:45:00.000+01:00,03:00:00.000+01:00,18.848957066072458,,,,,37.119049072265625,-8.528681755065918,37.11916732788086,-8.528611183166504,,,,,,,,900000,
03:00:00.000+01:00,03:15:00.000+01:00,18.848957066072458,,,,,37.11918640136719,-8.528669357299805,37.11946105957031,-8.528539657592773,,,,,,,,900000,
03:15:00.000+01:00,03:30:00.000+01:00,18.848957066072458,,,,,37.11907196044922,-8.528644561767578,37.11907196044922,-8.528644561767578,,,,,,,,900000,
03:30:00.000+01:00,03:45:00.000+01:00,18.848957066072458,,,,,37.11907196044922,-8.528639793395996,37.11933898925781,-8.528584480285645,,,,,,,,900000,
03:45:00.000+01:00,04:00:00.000+01:00,18.848957066072458,,,,,37.1190299987793,-8.528644561767578,37.11907196044922,-8.52860164642334,,,,,,,,900000,
04:00:00.000+01:00,04:15:00.000+01:00,18.848957066072458,,,,,37.11907196044922,-8.528644561767578,37.11907196044922,-8.528644561767578,,,,,,,,900000,
04:15:00.000+01:00,04:30:00.000+01:00,18.848957066072458,,,,,37.119075775146484,-8.528703689575195,37.119075775146484,-8.528703689575195,,,,,,,,900000,
04:30:00.000+01:00,04:45:00.000+01:00,18.848957066072458,,,,,37.11907196044922,-8.528644561767578,37.11907196044922,-8.528644561767578,,,,,,,,900000,
04:45:00.000+01:00,05:00:00.000+01:00,18.848957066072458,,,,,37.11907196044922,-8.528644561767578,37.119117736816406,-8.528620719909668,,,,,,,,900000,
05:00:00.000+01:00,05:15:00.000+01:00,18.848957066072458,,,,,37.11907196044922,-8.528644561767578,37.11922073364258,-8.528642654418945,,,,,,,,900000,
05:15:00.000+01:00,05:30:00.000+01:00,18.848957066072458,,,,,37.11907196044922,-8.528644561767578,37.119503021240234,-8.528599739074707,,,,,,,,900000,
05:30:00.000+01:00,05:45:00.000+01:00,18.848957066072458,,,,,37.11911392211914,-8.528594017028809,37.11911392211914,-8.528594017028809,,,,,,,,900000,
05:45:00.000+01:00,06:00:00.000+01:00,18.848957066072458,,,,,37.11907196044922,-8.528648376464844,37.11915969848633,-8.528644561767578,,,,,,,,900000,
06:00:00.000+01:00,06:15:00.000+01:00,18.848957066072458,,,,,37.119075775146484,-8.528646469116211,37.1191291809082,-8.528595924377441,,,,,,,,900000,
06:15:00.000+01:00,06:30:00.000+01:00,18.848957066072458,,,,,37.11907196044922,-8.528681755065918,37.11918258666992,-8.528644561767578,,,,,,,,900000,
06:30:00.000+01:00,06:45:00.000+01:00,18.848957066072458,,,,,37.11907196044922,-8.528644561767578,37.119102478027344,-8.52860164642334,,,,,,,,900000,
06:45:00.000+01:00,07:00:00.000+01:00,18.848957066072458,,,,,37.11867141723633,-8.528799057006836,37.119232177734375,-8.528605461120605,0.7894220948219299,0.7894220948219299,0.7894220948219299,,,,,900000,
07:00:00.000+01:00,07:15:00.000+01:00,18.848957066072458,,,,,37.11907196044922,-8.528644561767578,37.11922836303711,-8.528599739074707,0.7894220948219299,0.7894220948219299,0.7894220948219299,,,,,900000,
07:15:00.000+01:00,07:30:00.000+01:00,18.848957066072458,,,,,37.119083404541016,-8.528803825378418,37.11992263793945,-8.527750968933105,3.3405502166584444,5.59951114654541,0.6386318206787109,,,,,900000,
