Beginn,Ende,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Inaktiv – Dauer (ms),Laufen – Dauer (ms)
10:30:00.000+01:00,10:45:00.000+01:00,215.04113322846962,2279.8093675426667,153.41268075639599,178.0,140.0,51.263328552246094,6.840336799621582,51.27339172363281,6.856525421142578,1.3167289678412248,2.539167881011963,0.504862904548645,2488,,,,,900000
10:45:00.000+01:00,11:00:00.000+01:00,215.04113322846962,2279.8093675426667,140.16573971078978,153.0,113.0,51.24687957763672,6.853476047515869,51.26386642456055,6.858767509460449,1.6799110714747876,3.0712406635284424,0.5250425934791565,2319,,,,,900000
11:00:00.000+01:00,11:15:00.000+01:00,215.04113322846962,2279.8093675426667,148.1451612903226,169.0,120.0,51.241355895996094,6.835810661315918,51.249916076660156,6.853451251983643,1.041681778145845,2.3702008724212646,0.5003544092178345,2481,,,,,900000
11:15:00.000+01:00,11:30:00.000+01:00,215.04113322846962,2279.8093675426667,141.25083426028922,159.0,120.0,51.24211120605469,6.82273530960083,51.24728012084961,6.836914539337158,0.8860192474271553,1.8333334922790527,0.0,2274,,,,,900000
11:30:00.000+01:00,11:45:00.000+01:00,88.09869223499628,804.7017757814543,135.51898734177215,150.0,95.0,51.245277404785156,6.817295551300049,51.24782943725586,6.8226423263549805,1.1650590613683003,2.326507806777954,0.111111119389534,590,,,,582328,317672
11:45:00.000+01:00,12:00:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
12:00:00.000+01:00,12:15:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
12:15:00.000+01:00,12:30:00.000+01:00,18.848958210050444,,,,,,,,,,,,16,,,,900000,
12:30:00.000+01:00,12:45:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
12:45:00.000+01:00,13:00:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
13:00:00.000+01:00,13:15:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
13:15:00.000+01:00,13:30:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
13:30:00.000+01:00,13:45:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
13:45:00.000+01:00,14:00:00.000+01:00,18.848958210050444,,,,,51.24745178222656,6.817436695098877,51.247589111328125,6.8175811767578125,,,,,,,,900000,
14:00:00.000+01:00,14:15:00.000+01:00,18.848958210050444,,,,,51.247520446777344,6.817453384399414,51.247528076171875,6.817530632019043,,,,15,,,,900000,
14:15:00.000+01:00,14:30:00.000+01:00,18.848958210050444,,,,,51.24756622314453,6.817368030548096,51.24761199951172,6.81747579574585,,,,,,,,900000,
14:30:00.000+01:00,14:45:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
14:45:00.000+01:00,15:00:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
15:00:00.000+01:00,15:15:00.000+01:00,18.848958210050444,,,,,51.24756622314453,6.8173956871032715,51.24761199951172,6.817404270172119,,,,,,,,900000,
