Beginn,Ende,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Inaktiv – Dauer (ms),Gehen – Dauer (ms)
09:00:00.000+01:00,09:15:00.000+01:00,18.848957716785353,,,,,51.239078521728516,6.817755222320557,51.23914337158203,6.817839622497559,,,,,,,,,900000,
09:15:00.000+01:00,09:30:00.000+01:00,18.848957716785353,,,,,51.23918533325195,6.817793846130371,51.239315032958984,6.817996025085449,,,,,,,,,900000,
09:30:00.000+01:00,09:45:00.000+01:00,18.848957716785353,,,,,51.239078521728516,6.817755222320557,51.239078521728516,6.817755222320557,,,,,,,,,900000,
09:45:00.000+01:00,10:00:00.000+01:00,18.848957716785353,,,,,,,,,,,,,,,,,900000,
10:00:00.000+01:00,10:15:00.000+01:00,18.848957716785353,,,,,51.239078521728516,6.817755222320557,51.23956298828125,6.81792688369751,,,,,,,,,900000,
10:15:00.000+01:00,10:30:00.000+01:00,18.848957716785353,,,,,51.239078521728516,6.817755222320557,51.239078521728516,6.817755222320557,,,,,,,,,900000,
10:30:00.000+01:00,10:45:00.000+01:00,18.848957716785353,,,,,,,,,,,,,,,,,900000,
10:45:00.000+01:00,11:00:00.000+01:00,18.848957716785353,,,,,,,,,,,,,,,,,900000,
11:00:00.000+01:00,11:15:00.000+01:00,18.848957716785353,,,,,,,,,,,,,,,,,900000,
11:15:00.000+01:00,11:30:00.000+01:00,18.848957716785353,,,,,,,,,,,,,,,,,900000,
11:30:00.000+01:00,11:45:00.000+01:00,18.848957716785353,,,,,51.239078521728516,6.817755222320557,51.23923110961914,6.817789077758789,,,,,,,,,900000,
11:45:00.000+01:00,12:00:00.000+01:00,18.848957716785353,,,,,51.239078521728516,6.817755222320557,51.239253997802734,6.818033218383789,,,,,,,,,900000,
12:00:00.000+01:00,12:15:00.000+01:00,18.848957716785353,,,,,51.239078521728516,6.817755222320557,51.23927307128906,6.81776237487793,,,,,,,,,900000,
12:15:00.000+01:00,12:30:00.000+01:00,18.848957716785353,,,,,51.239078521728516,6.817755222320557,51.23920440673828,6.817801475524902,,,,,,,,,900000,
12:30:00.000+01:00,12:45:00.000+01:00,18.848957716785353,,,,,,,,,,,,,,,,,900000,
12:45:00.000+01:00,13:00:00.000+01:00,18.848957716785353,,,,,51.239253997802734,6.8177571296691895,51.239253997802734,6.8177571296691895,,,,,,,,,900000,
13:00:00.000+01:00,13:15:00.000+01:00,18.848957716785353,,,,,51.239078521728516,6.817755222320557,51.239078521728516,6.817755222320557,,,,,,,,,900000,
13:15:00.000+01:00,13:30:00.000+01:00,18.848957716785353,,,,,51.23930740356445,6.817471504211426,51.23930740356445,6.817471504211426,,,,,,,,,900000,
13:30:00.000+01:00,13:45:00.000+01:00,18.848957716785353,,,,,51.239078521728516,6.817755222320557,51.23933029174805,6.817840099334717,,,,,,,,,900000,
13:45:00.000+01:00,14:00:00.000+01:00,18.848957716785353,,,,,,,,,,,,,,,,,900000,
14:00:00.000+01:00,14:15:00.000+01:00,18.848957716785353,,,,,,,,,,,,,,,,,900000,
14:15:00.000+01:00,14:30:00.000+01:00,18.848957716785353,,,,,,,,,,,,,,,,,900000,
14:30:00.000+01:00,14:45:00.000+01:00,18.848957716785353,,,,,,,,,,,,,,,,,900000,
14:45:00.000+01:00,15:00:00.000+01:00,18.848957716785353,,,,,51.239078521728516,6.817755222320557,51.239315032958984,6.817996025085449,,,,,,,,,900000,
15:00:00.000+01:00,15:15:00.000+01:00,18.848957716785353,,,,,51.239166259765625,6.817821979522705,51.23929214477539,6.817839622497559,,,,,,,,,900000,
15:15:00.000+01:00,15:30:00.000+01:00,18.848957716785353,,,,,51.239227294921875,6.817611217498779,51.239376068115234,6.817823886871338,,,,,,,,,900000,
15:30:00.000+01:00,15:45:00.000+01:00,18.848957716785353,,,,,51.238990783691406,6.817150592803955,51.23960494995117,6.817807197570801,,,,,,,,,900000,
15:45:00.000+01:00,16:00:00.000+01:00,18.848957716785353,,,,,51.239078521728516,6.817755222320557,51.23936080932617,6.817866325378418,,,,,,,,,900000,
16:00:00.000+01:00,16:15:00.000+01:00,18.848957716785353,,,,,51.239078521728516,6.817755222320557,51.23952102661133,6.8181233406066895,,,,,,,,,900000,
16:15:00.000+01:00,16:30:00.000+01:00,18.848957716785353,,,,,51.239078521728516,6.817755222320557,51.2392463684082,6.817807674407959,,,,548,,,,,900000,
16:30:00.000+01:00,16:45:00.000+01:00,74.49207795968506,590.0472594503071,,,,51.239234924316406,6.812757968902588,51.24681854248047,6.818024635314941,1.2715008350458517,1.783989429473877,0.5244224667549133,870,,,,,90986,809014
