Beginn,Ende,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Inaktiv – Dauer (ms),Gehen – Dauer (ms)
00:00:00.000+02:00,00:15:00.000+02:00,18.848957403435016,,,,,,,,,,,,,,,,900000,
00:15:00.000+02:00,00:30:00.000+02:00,18.848957403435016,,,,,,,,,,,,,,,,900000,
00:30:00.000+02:00,00:45:00.000+02:00,18.848957403435016,,,,,,,,,,,,,,,,900000,
00:45:00.000+02:00,01:00:00.000+02:00,18.848957403435016,,,,,,,,,,,,,,,,900000,
01:00:00.000+02:00,01:15:00.000+02:00,18.848957403435016,,,,,,,,,,,,,,,,900000,
01:15:00.000+02:00,01:30:00.000+02:00,18.848957403435016,,,,,,,,,,,,,,,,900000,
01:30:00.000+02:00,01:45:00.000+02:00,18.848957403435016,,,,,,,,,,,,,,,,900000,
01:45:00.000+02:00,02:00:00.000+02:00,18.848957403435016,,,,,,,,,,,,,,,,900000,
02:00:00.000+02:00,02:15:00.000+02:00,18.848957403435016,,,,,,,,,,,,,,,,900000,
02:15:00.000+02:00,02:30:00.000+02:00,18.848957403435016,,,,,,,,,,,,,,,,900000,
02:30:00.000+02:00,02:45:00.000+02:00,18.848957403435016,,,,,,,,,,,,,,,,900000,
02:45:00.000+02:00,03:00:00.000+02:00,18.848957403435016,,,,,,,,,,,,,,,,900000,
03:00:00.000+02:00,03:15:00.000+02:00,18.848957403435016,,,,,,,,,,,,,,,,900000,
03:15:00.000+02:00,03:30:00.000+02:00,18.848957403435016,,,,,,,,,,,,,,,,900000,
03:30:00.000+02:00,03:45:00.000+02:00,18.848957403435016,,,,,,,,,,,,,,,,900000,
03:45:00.000+02:00,04:00:00.000+02:00,18.848957403435016,,,,,,,,,,,,,,,,900000,
04:00:00.000+02:00,04:15:00.000+02:00,18.848957403435016,,,,,,,,,,,,,,,,900000,
04:15:00.000+02:00,04:30:00.000+02:00,18.848957403435016,,,,,,,,,,,,,,,,900000,
04:30:00.000+02:00,04:45:00.000+02:00,18.848957403435016,,,,,51.24711608886719,6.81729793548584,51.249385833740234,6.818332195281982,0.9999759703515612,1.882485032081604,0.9833828210830688,,,,,900000,
04:45:00.000+02:00,05:00:00.000+02:00,18.848957403435016,,,,,51.24761199951172,6.817188739776611,51.248443603515625,6.817389488220215,0.5088410839058473,0.5097593069076538,0.5064232349395752,,,,,900000,
05:00:00.000+02:00,05:15:00.000+02:00,18.848957403435016,,,,,51.24760818481445,6.816919326782227,51.24778747558594,6.8173136711120605,,,,,,,,900000,
05:15:00.000+02:00,05:30:00.000+02:00,18.848957403435016,,,,,51.24760818481445,6.8172607421875,51.247623443603516,6.817287445068359,,,,13,,,,900000,
05:30:00.000+02:00,05:45:00.000+02:00,18.848957403435016,,,,,,,,,,,,,,,,900000,
05:45:00.000+02:00,06:00:00.000+02:00,18.848957403435016,,,,,,,,,,,,,,,,900000,
06:00:00.000+02:00,06:15:00.000+02:00,18.848957403435016,,,,,,,,,,,,,,,,900000,
06:15:00.000+02:00,06:30:00.000+02:00,18.848957403435016,,,,,,,,,,,,,,,,900000,
06:30:00.000+02:00,06:45:00.000+02:00,18.848957403435016,,,,,,,,,,,,,,,,900000,
06:45:00.000+02:00,07:00:00.000+02:00,18.848957403435016,,,,,51.238853454589844,6.816032409667969,51.24760818481445,6.817845344543457,2.094066618711827,3.938852310180664,0.5262914299964905,149,,,,900000,
07:00:00.000+02:00,07:15:00.000+02:00,18.848957403435016,,,,,51.23915100097656,6.816683769226074,51.239601135253906,6.8183979988098145,,,,198,,,,900000,
07:15:00.000+02:00,07:30:00.000+02:00,18.848957403435016,,,,,51.239192962646484,6.817726135253906,51.239295959472656,6.817846298217773,,,,49,,,,900000,
07:30:00.000+02:00,07:45:00.000+02:00,18.84895759846809,,,,,51.24713897705078,6.807839393615723,51.24717712402344,6.807918548583984,,,,42,,,,83688,
07:45:00.000+02:00,08:00:00.000+02:00,18.848957618462805,,,,,51.2537841796875,6.741794586181641,51.37480926513672,6.780760288238525,22.454643993207117,25.719438552856445,3.6912429332733154,,85.0,85.0,85.0,,
08:00:00.000+02:00,08:15:00.000+02:00,18.848957618462805,,,,,51.42703628540039,6.769655704498291,51.440914154052734,6.772308826446533,,,,,,,,,
08:15:00.000+02:00,08:30:00.000+02:00,18.848957618462805,,,,,51.4851188659668,6.734864234924316,51.49072265625,6.74074649810791,12.351241111755371,13.375724792480469,11.326757431030273,,,,,,
08:30:00.000+02:00,08:45:00.000+02:00,29.578332789371466,192.95388699662163,,,,51.49238967895508,6.737585544586182,51.4957389831543,6.748000144958496,0.9798326080062453,2.4048426151275635,0.3668939769268036,224,,,,,155998
08:45:00.000+02:00,09:00:00.000+02:00,40.784346058898024,244.46774172816203,,,,51.49343490600586,6.738370418548584,51.495182037353516,6.7396626472473145,0.6780389875973953,0.8355846405029297,0.3449668288230896,391,,,,581074,318926
09:00:00.000+02:00,09:15:00.000+02:00,18.848957818762234,,,,,,,,,,,,,,,,900000,
09:15:00.000+02:00,09:30:00.000+02:00,18.848957818762234,,,,,,,,,,,,,,,,900000,
09:30:00.000+02:00,09:45:00.000+02:00,18.848957818762234,,,,,51.49269104003906,6.739280700683594,51.49343490600586,6.7396626472473145,0.5781422257423401,0.5781422257423401,0.5781422257423401,207,,,,900000,
09:45:00.000+02:00,10:00:00.000+02:00,18.848957818762234,,,,,51.49768829345703,6.740408420562744,51.49768829345703,6.740408420562744,,,,55,,,,900000,
10:00:00.000+02:00,10:15:00.000+02:00,18.848957818762234,,,,,51.496131896972656,6.740139484405518,51.49768829345703,6.740408420562744,,,,,,,,900000,
10:15:00.000+02:00,10:30:00.000+02:00,18.848957818762234,,,,,,,,,,,,,,,,900000,
10:30:00.000+02:00,10:45:00.000+02:00,33.644897334672976,157.22639589099936,,,,51.49345397949219,6.73967170715332,51.4947509765625,6.740443229675293,1.1194586157798767,1.3056342601776123,0.9332829713821411,696,,,,684876,215124
10:45:00.000+02:00,11:00:00.000+02:00,62.21290329637557,401.7753660223002,,,,51.49814987182617,6.738312721252441,51.49814987182617,6.738312721252441,0.4954122453927994,0.6441773176193237,0.346647173166275,557,,,,194111,630483
11:00:00.000+02:00,11:15:00.000+02:00,18.84895814158335,,,,,51.48093795776367,6.732743263244629,51.49197006225586,6.746323585510254,19.5842879973736,22.141027450561523,18.850374221801758,,,,,,
11:15:00.000+02:00,11:30:00.000+02:00,18.84895814158335,,,,,51.44318389892578,6.767941474914551,51.46512222290039,6.778517723083496,5.728297701423388,18.873031616210938,0.6314435601234436,,,,,,
11:30:00.000+02:00,11:45:00.000+02:00,18.84895814158335,,,,,51.2489013671875,6.747684478759766,51.293907165527344,6.804141044616699,28.285107635966543,28.78714370727539,27.518529891967773,,,,,,
11:45:00.000+02:00,12:00:00.000+02:00,18.848958140900244,,,,,51.23942184448242,6.8145670890808105,51.24372863769531,6.817276477813721,1.0310847166542696,1.6055158376693726,0.5052570700645447,12,,,,23376,
12:00:00.000+02:00,12:15:00.000+02:00,18.848958115283004,,,,,,,,,,,,1,,,,900000,
12:15:00.000+02:00,12:30:00.000+02:00,18.848958115283004,,,,,51.239192962646484,6.817724704742432,51.239261627197266,6.817730903625488,,,,,,,,900000,
12:30:00.000+02:00,12:45:00.000+02:00,18.848958115283004,,,,,,,,,,,,,,,,900000,
12:45:00.000+02:00,13:00:00.000+02:00,18.848958115283004,,,,,51.23939895629883,6.817752361297607,51.23939895629883,6.817752361297607,,,,,,,,900000,
13:00:00.000+02:00,13:15:00.000+02:00,18.848958115283004,,,,,51.239139556884766,6.817683219909668,51.23931121826172,6.817901134490967,,,,,,,,900000,
13:15:00.000+02:00,13:30:00.000+02:00,18.848958115283004,,,,,51.238887786865234,6.817276477813721,51.239192962646484,6.817730903625488,,,,,,,,900000,
13:30:00.000+02:00,13:45:00.000+02:00,18.848958115283004,,,,,51.238887786865234,6.817276477813721,51.239192962646484,6.817730903625488,,,,,,,,900000,
13:45:00.000+02:00,14:00:00.000+02:00,18.848958115283004,,,,,,,,,,,,10,,,,900000,
14:00:00.000+02:00,14:15:00.000+02:00,18.848958115283004,,,,,51.23917770385742,6.817625999450684,51.23939514160156,6.817884922027588,,,,,,,,900000,
14:15:00.000+02:00,14:30:00.000+02:00,18.848958115283004,,,,,51.239192962646484,6.817678451538086,51.23933410644531,6.817770481109619,,,,,,,,900000,
14:30:00.000+02:00,14:45:00.000+02:00,18.848958115283004,,,,,,,,,,,,,,,,900000,
14:45:00.000+02:00,15:00:00.000+02:00,18.848958115283004,,,,,51.239192962646484,6.817674160003662,51.23933410644531,6.817730903625488,,,,,,,,900000,
15:00:00.000+02:00,15:15:00.000+02:00,18.848958115283004,,,,,,,,,,,,,,,,900000,
15:15:00.000+02:00,15:30:00.000+02:00,18.848958115283004,,,,,51.23917007446289,6.817532539367676,51.23945999145508,6.817838668823242,,,,4,,,,900000,
15:30:00.000+02:00,15:45:00.000+02:00,18.848958115283004,,,,,,,,,,,,,,,,900000,
15:45:00.000+02:00,16:00:00.000+02:00,18.848958115283004,,,,,,,,,,,,,,,,900000,
16:00:00.000+02:00,16:15:00.000+02:00,18.848958115283004,,,,,51.239219665527344,6.818004131317139,51.23963165283203,6.818446159362793,,,,50,,,,900000,
16:15:00.000+02:00,16:30:00.000+02:00,18.848957151466546,,,,,51.24353790283203,6.816114902496338,51.24766159057617,6.819372177124023,0.9001688361167908,0.9001688361167908,0.9001688361167908,212,,,,605123,
16:30:00.000+02:00,16:45:00.000+02:00,18.848956774564833,,,,,51.24713134765625,6.81737756729126,51.24764633178711,6.818105220794678,,,,,,,,900000,
16:45:00.000+02:00,17:00:00.000+02:00,18.848956774564833,,,,,51.24766159057617,6.817373752593994,51.24766159057617,6.817373752593994,,,,,,,,900000,
17:00:00.000+02:00,17:15:00.000+02:00,18.848956774564833,,,,,,,,,,,,,,,,900000,
17:15:00.000+02:00,17:30:00.000+02:00,18.848956774564833,,,,,,,,,,,,,,,,900000,
17:30:00.000+02:00,17:45:00.000+02:00,18.848956774564833,,,,,51.24763107299805,6.817385673522949,51.247642517089844,6.817408084869385,,,,,,,,900000,
17:45:00.000+02:00,18:00:00.000+02:00,18.848956774564833,,,,,51.247623443603516,6.817378044128418,51.24763488769531,6.817378520965576,0.8986264169216156,1.142431378364563,0.6548214554786682,,,,,900000,
18:00:00.000+02:00,18:15:00.000+02:00,18.848956774564833,,,,,51.24763107299805,6.8173828125,51.247650146484375,6.817385196685791,1.736230719019739,1.737639307975769,1.7362210750579834,,,,,900000,
18:15:00.000+02:00,18:30:00.000+02:00,18.848956774564833,,,,,51.24761962890625,6.8173828125,51.247684478759766,6.817393779754639,0.6769634783267975,0.6815725564956665,0.6723544001579285,,,,,900000,
